transport,payload,rate,run_id,sub_tps,p50_ms,p95_ms,p99_ms,pub_tps,sent,recv,errors,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes
zenoh,1024,1000,latency_20251130_061910_zenoh_p1024_n10_r100,1000.38,0.631,2.542,2.593,1000.09,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_061910_zenoh_p1024_n10_r100/fanout_multi_topic_perkey,,,
zenoh,2048,1000,latency_20251130_061956_zenoh_p2048_n10_r100,1000.33,0.752,2.638,2.767,1000.07,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_061956_zenoh_p2048_n10_r100/fanout_multi_topic_perkey,,,
zenoh,4096,1000,latency_20251130_062042_zenoh_p4096_n10_r100,1000.09,1.553,1.758,2.585,1000.06,30001,28992,0,/home/cc/mq-bench/artifacts/latency_20251130_062042_zenoh_p4096_n10_r100/fanout_multi_topic_perkey,,,
zenoh,8192,1000,latency_20251130_062129_zenoh_p8192_n10_r100,1000.37,1.033,1.380,2.144,1000.09,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_062129_zenoh_p8192_n10_r100/fanout_multi_topic_perkey,,,
zenoh,16384,1000,latency_20251130_062215_zenoh_p16384_n10_r100,1000.29,1.316,2.183,2.394,1000.10,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_062215_zenoh_p16384_n10_r100/fanout_multi_topic_perkey,,,
zenoh,32768,1000,latency_20251130_062301_zenoh_p32768_n10_r100,1000.16,1.946,2.966,3.977,1000.08,30001,28991,0,/home/cc/mq-bench/artifacts/latency_20251130_062301_zenoh_p32768_n10_r100/fanout_multi_topic_perkey,,,
zenoh,65536,1000,latency_20251130_062347_zenoh_p65536_n10_r100,999.49,3.533,5.878,6.455,1000.10,30001,28974,0,/home/cc/mq-bench/artifacts/latency_20251130_062347_zenoh_p65536_n10_r100/fanout_multi_topic_perkey,,,
zenoh,131072,1000,latency_20251130_062433_zenoh_p131072_n10_r100,1000.34,3.269,5.353,6.328,1000.07,30001,28993,0,/home/cc/mq-bench/artifacts/latency_20251130_062433_zenoh_p131072_n10_r100/fanout_multi_topic_perkey,,,
zenoh,262144,1000,latency_20251130_062519_zenoh_p262144_n10_r100,914.86,55.116,69.009,72.942,1000.13,30001,26517,0,/home/cc/mq-bench/artifacts/latency_20251130_062519_zenoh_p262144_n10_r100/fanout_multi_topic_perkey,,,
zenoh,524288,1000,latency_20251130_062605_zenoh_p524288_n10_r100,491.67,23.396,26.149,27.902,586.56,17595,14249,0,/home/cc/mq-bench/artifacts/latency_20251130_062605_zenoh_p524288_n10_r100/fanout_multi_topic_perkey,,,
zenoh,1048576,1000,latency_20251130_062651_zenoh_p1048576_n10_r100,264.23,23.347,25.264,26.362,296.07,8881,7654,0,/home/cc/mq-bench/artifacts/latency_20251130_062651_zenoh_p1048576_n10_r100/fanout_multi_topic_perkey,,,
zenoh,2097152,1000,latency_20251130_062737_zenoh_p2097152_n10_r100,144.63,42.467,44.597,47.153,153.61,4607,4185,0,/home/cc/mq-bench/artifacts/latency_20251130_062737_zenoh_p2097152_n10_r100/fanout_multi_topic_perkey,,,
redis,1024,1000,latency_20251130_062907_redis_p1024_n10_r100,999.99,0.239,0.271,0.291,1000.15,30001,28991,0,/home/cc/mq-bench/artifacts/latency_20251130_062907_redis_p1024_n10_r100/fanout_multi_topic_perkey,,,
redis,2048,1000,latency_20251130_062953_redis_p2048_n10_r100,1000.12,0.271,0.303,0.327,1000.16,30001,28991,0,/home/cc/mq-bench/artifacts/latency_20251130_062953_redis_p2048_n10_r100/fanout_multi_topic_perkey,,,
redis,4096,1000,latency_20251130_063039_redis_p4096_n10_r100,999.99,0.287,0.321,0.345,1000.20,30001,28991,0,/home/cc/mq-bench/artifacts/latency_20251130_063039_redis_p4096_n10_r100/fanout_multi_topic_perkey,,,
redis,8192,1000,latency_20251130_063125_redis_p8192_n10_r100,1000.02,0.316,0.367,0.406,1000.17,30001,28991,0,/home/cc/mq-bench/artifacts/latency_20251130_063125_redis_p8192_n10_r100/fanout_multi_topic_perkey,,,
redis,16384,1000,latency_20251130_063211_redis_p16384_n10_r100,1000.02,0.407,0.482,0.528,1000.17,30001,28991,0,/home/cc/mq-bench/artifacts/latency_20251130_063211_redis_p16384_n10_r100/fanout_multi_topic_perkey,,,
redis,32768,1000,latency_20251130_063257_redis_p32768_n10_r100,1000.07,0.510,0.586,0.620,1000.16,30000,28991,0,/home/cc/mq-bench/artifacts/latency_20251130_063257_redis_p32768_n10_r100/fanout_multi_topic_perkey,,,
redis,65536,1000,latency_20251130_063343_redis_p65536_n10_r100,1000.05,0.854,0.919,0.987,1000.05,29996,28992,0,/home/cc/mq-bench/artifacts/latency_20251130_063343_redis_p65536_n10_r100/fanout_multi_topic_perkey,,,
redis,131072,1000,latency_20251130_063429_redis_p131072_n10_r100,854.85,1.403,1.470,2.310,854.98,25644,24781,0,/home/cc/mq-bench/artifacts/latency_20251130_063429_redis_p131072_n10_r100/fanout_multi_topic_perkey,,,
redis,262144,1000,latency_20251130_063515_redis_p262144_n10_r100,495.50,2.419,2.494,3.682,497.35,14916,14362,0,/home/cc/mq-bench/artifacts/latency_20251130_063515_redis_p262144_n10_r100/fanout_multi_topic_perkey,,,
redis,524288,1000,latency_20251130_063602_redis_p524288_n10_r100,290.34,4.538,4.747,5.861,289.73,8690,8415,0,/home/cc/mq-bench/artifacts/latency_20251130_063602_redis_p524288_n10_r100/fanout_multi_topic_perkey,,,
redis,1048576,1000,latency_20251130_063648_redis_p1048576_n10_r100,160.90,9.118,9.757,10.756,160.56,4816,4663,0,/home/cc/mq-bench/artifacts/latency_20251130_063648_redis_p1048576_n10_r100/fanout_multi_topic_perkey,,,
redis,2097152,1000,latency_20251130_063734_redis_p2097152_n10_r100,92.38,15.630,17.875,21.217,92.45,2772,2676,0,/home/cc/mq-bench/artifacts/latency_20251130_063734_redis_p2097152_n10_r100/fanout_multi_topic_perkey,,,
nats,1024,1000,latency_20251130_063853_nats_p1024_n10_r100,1000.09,0.716,1.082,1.174,1000.25,29991,28981,0,/home/cc/mq-bench/artifacts/latency_20251130_063853_nats_p1024_n10_r100/fanout_multi_topic_perkey,,,
nats,2048,1000,latency_20251130_063939_nats_p2048_n10_r100,1000.27,0.861,1.404,1.617,1000.05,29981,28981,0,/home/cc/mq-bench/artifacts/latency_20251130_063939_nats_p2048_n10_r100/fanout_multi_topic_perkey,,,
nats,4096,1000,latency_20251130_064025_nats_p4096_n10_r100,1000.19,0.887,1.460,1.664,1000.02,29981,28981,0,/home/cc/mq-bench/artifacts/latency_20251130_064025_nats_p4096_n10_r100/fanout_multi_topic_perkey,,,
nats,8192,1000,latency_20251130_064111_nats_p8192_n10_r100,1000.15,0.843,1.576,1.859,1000.00,29981,28981,0,/home/cc/mq-bench/artifacts/latency_20251130_064111_nats_p8192_n10_r100/fanout_multi_topic_perkey,,,
nats,16384,1000,latency_20251130_064157_nats_p16384_n10_r100,1000.11,0.978,1.870,2.146,1000.01,29981,28981,0,/home/cc/mq-bench/artifacts/latency_20251130_064157_nats_p16384_n10_r100/fanout_multi_topic_perkey,,,
nats,32768,1000,latency_20251130_064243_nats_p32768_n10_r100,1000.16,0.835,1.627,1.937,999.99,29981,28981,0,/home/cc/mq-bench/artifacts/latency_20251130_064243_nats_p32768_n10_r100/fanout_multi_topic_perkey,,,
nats,65536,1000,latency_20251130_064330_nats_p65536_n10_r100,1000.39,1.853,6.226,7.352,1000.03,29981,28981,0,/home/cc/mq-bench/artifacts/latency_20251130_064330_nats_p65536_n10_r100/fanout_multi_topic_perkey,,,
nats,131072,1000,latency_20251130_064416_nats_p131072_n10_r100,1000.42,1.971,4.788,6.287,1000.04,29983,28979,0,/home/cc/mq-bench/artifacts/latency_20251130_064416_nats_p131072_n10_r100/fanout_multi_topic_perkey,,,
nats,262144,1000,latency_20251130_064502_nats_p262144_n10_r100,997.32,2.910,3.566,4.878,995.24,29837,28878,0,/home/cc/mq-bench/artifacts/latency_20251130_064502_nats_p262144_n10_r100/fanout_multi_topic_perkey,,,
nats,524288,1000,latency_20251130_064548_nats_p524288_n10_r100,858.54,3.777,6.529,8.147,850.59,25500,24856,0,/home/cc/mq-bench/artifacts/latency_20251130_064548_nats_p524288_n10_r100/fanout_multi_topic_perkey,,,
nats,1048576,1000,latency_20251130_064634_nats_p1048576_n10_r100,21.89,782.238,1326.449,1406.140,574.80,17231,632,0,/home/cc/mq-bench/artifacts/latency_20251130_064634_nats_p1048576_n10_r100/fanout_multi_topic_perkey,,,
nats,2097152,1000,latency_20251130_064725_nats_p2097152_n10_r100,0.00,0.000,0.000,0.000,0.00,0,0,0,/home/cc/mq-bench/artifacts/latency_20251130_064725_nats_p2097152_n10_r100/fanout_multi_topic_perkey,,,
mqtt_mosquitto,1024,1000,latency_20251130_064820_mosquitto_p1024_n10_r100,999.98,9.429,11.690,11.813,1000.03,30002,28992,0,/home/cc/mq-bench/artifacts/latency_20251130_064820_mosquitto_p1024_n10_r100/fanout_multi_topic_perkey,,,
mqtt_mosquitto,2048,1000,latency_20251130_064906_mosquitto_p2048_n10_r100,1000.30,1.193,1.755,1.801,999.98,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_064906_mosquitto_p2048_n10_r100/fanout_multi_topic_perkey,,,
mqtt_mosquitto,4096,1000,latency_20251130_064952_mosquitto_p4096_n10_r100,1000.35,1.261,1.934,2.080,1000.00,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_064952_mosquitto_p4096_n10_r100/fanout_multi_topic_perkey,,,
mqtt_mosquitto,8192,1000,latency_20251130_065038_mosquitto_p8192_n10_r100,1000.39,1.362,2.026,2.109,999.98,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_065038_mosquitto_p8192_n10_r100/fanout_multi_topic_perkey,,,
